id,date,owner,lane,what,ruler,delta,n_seeds,sd,verdict,artifacts,notes
curriculum,2026-08-22,oleg,ce-retrain,"УЧЕБНАЯ ПРОГРАММА (мастер-план человека, 2026-08-22): Stage 0 MLM -> Stage A llm warmup на исправленных метках -> Stage B human (лучший лосс) -> Stage C hard examples, с заморозками по стадиям",композиция читается ТОЛЬКО финальным A/B против лучшего одиночного куска,,,,QUEUED,"LEDGER mlmpre (Stage 0), v16qprereg (Stage A метки), v17loss (Stage B лосс), stagec (Stage C), freezeab (заморозки), ce2track (контейнерная ось, отдельно)","ЭТО КОМПОЗИЦИОННАЯ строка, не арм: она фиксирует ПОРЯДОК СБОРКИ и правило комбинирования, чтобы куски не склеили на глазок. ПРАВИЛА: (1) каждый этап живёт своим пре-зарегистрированным A/B (строки в artifacts) и входит в программу ТОЛЬКО взяв свой бар индивидуально; (2) сборка инкрементальная в порядке дешевизны чтения: сначала одиночные вердикты (stagec и freezeab дешёвые, mlmpre дорогой), потом попарные композиции ТОЛЬКО из победителей, каждая композиция -- отдельный арм с контролем 'лучший одиночный кусок' и баром +0.003 (композиции НЕ аддитивны по умолчанию: v15-у-макса и наш стек уже показывали, что вклад слоя зависит от силы соседа); (3) Stage-A чекпойнт читается на каждой ступени; (4) финальный рецепт идёт в контейнер только через стандартную цепочку (инвариант -> ретрейн стека -> смоук) и слот решает человек. СТАТУС КУСКОВ на момент записи: mlmpre QUEUED (нужны molab-часы), v16q QUEUED (блокеры: лицензия qwen + покрытие кампании 3115/12000), v17loss QUEUED (нужен molab), stagec QUEUED (дёшев, готов после чтения текущих армов), freezeab QUEUED (нужен патч --freeze-layers). Имя v18 НЕ используется для этой программы: занято дважды (v18-контейнер макса и mlm-коммит) -- имя программы = curriculum, армы носят свои имена"
o-weights-kds,2026-08-22,oleg,handoff,the CE weights shipped as private Kaggle datasets per standing orders (the human's ask): champion bge256 ep2 + v16g graphfix CE,none (artifact transport),,,,LANDED,"kaggle:smirnolegov/ecup26-oleg-bge256, kaggle:smirnolegov/ecup26-oleg-graphfix-ce, hf mirrors: ecup26-bge-256 / ecup26-labelfix-graphfix","both PRIVATE, full model.safetensors verified byte-size-exact (1,135,559,698) on bge256; graphfix-ce processing at row time (watcher). Unblocked by KAGGLE_ACCESS_TOKEN (KGAT) from the root .secrets.json -- the legacy key could neither list nor create (COOKBOOK gotcha updated). PURPOSE: max's v18 three-CE ladder is built and waiting on exactly this checkpoint (v18ready: 'only oleg's checkpoint is missing'); cross-family ensembling is the one axis that transfers ~1:1. REMAINING HUMAN STEP: add max as collaborator on both datasets (web UI only) or confirm team-level access; CLI cannot share private datasets"
v16predict,2026-08-22,max,submission,"v16 differs from v15 in ONE file; its +0.00138 is decorrelation, not the ruler's human-lean bias -- and it is below our demonstrated board resolution","leak-free E_real at prevalence 0.045, paired 16 splits, same rows for solo and partner readings",+0.00138,paired 16 splits (n_seeds=1 by design),0.00072 (sd of the paired difference),ANCHOR,"submission/dist/submission_v16.zip sha256 cb6a8d5cfdb44789, tools/paired_ep4_ep3.py, tools/price_ce2.py, SUBMISSIONS.md","CHECKED BEFORE RECOMMENDING THE SLOT, because the swap moves in the direction this ruler is documented to over-reward. v16 differs from v15 in EXACTLY ONE FILE of 45 -- models/ce-2/model.safetensors, t104-ep3 -> t104-ep4; run.py, src/, CE-1, the GBDT stack and every blend weight are byte-identical (sha256 diff over the whole archive). ep4 has one more human Stage-B epoch than ep3, and mixaxisclosed established that E_real FLATTERS whatever leans human, so the +0.00138 had an obvious way to be an artifact. IT IS NOT. Solo blend on the same rows: ep2 0.47242 | ep3 0.47317 | ep4 0.47166 -- ep4 is the WORST of the three solo and ep3 the best. As a CE-2 partner: ep2 +0.00300 | ep3 +0.00338 | ep4 +0.00492 -- ep4 is the BEST. Correlation to CE-1 falls monotonically with epoch: 0.9439 | 0.9412 | 0.9374. So ep4 is a slightly WORSE MODEL that is a BETTER PARTNER, and the mechanism is DECORRELATION, not quality and not a human-lean artifact -- had the ruler's bias been inflating ep4, ep4 would have had to look better SOLO too, and it looks worse. That matters for transfer: a decorrelation effect is a property of the score distributions and should survive a different pair set better than a labelling artifact would. IT REFINES familyvalue RATHER THAN CONTRADICTING IT: across DIFFERENT models spanning 0.30-0.49 solo quality, gain tracks quality (+0.451) more than correlation (+0.404); across three checkpoints of ONE run whose solo quality spans only 0.0015, correlation is the only thing left moving and it dominates. Quality first, decorrelation as the tie-break. PREDICTION FOR THE BOARD, stated before the slot is spent: 0.49178 + 0.00138 = ~0.4932 at the transfer of 1.010 measured once on the ensemble axis. THE HONEST CAVEAT: +0.00138 is LESS THAN HALF the smallest board effect we have ever cleanly resolved (v15's +0.00323), so a reading anywhere from ~0.4915 to ~0.4935 is consistent with the swap working. This slot buys POSITION, not INFORMATION, and it should not be read afterwards as evidence about the ep-selection axis either way. scope: one archive diff and one paired read; no board evidence yet."
windowband,2026-08-22,max,ce-window,"a window pays ONLY on the band it newly admits -- replicated on two independent window contrasts, each with a control stratum where both models read byte-identical input","leak-free E_real at prevalence 0.045, paired 16 splits, stratified by untruncated pair token length; epoch-matched within each contrast",+0.01334,paired 16 splits x 2 epoch replicates x 2 contrasts,"control stratum reads +0.00038 and -0.00325, which IS the run-to-run noise",CONFIRMED,"tools/elen_ruler.py, tools/elen_confirm.py, tools/window_law.py, outputs/elen_ruler.json, outputs/elen_confirm.json, outputs/window_law.json","DELTA COLUMN = the mean of the two replicated newly-fitting-band cells (+0.01435 on 192->256, +0.01233 on 256->320). THE DESIGN IS THE POINT: a window change gives a control stratum for free. On any pair shorter than the SMALLER window, the two models read BYTE-IDENTICAL input -- not similar, identical -- so a window effect cannot exist there and whatever delta appears is run-to-run noise, measured rather than assumed. That is what makes the middle band readable. Three strata per contrast: below the small window (identical input), between the two (the smaller one truncates, the larger does not), above the large one (both truncate). MEASURED, epoch-matched (192->256 at human ep0 and ep1; 256->320 at human ep0, t116-ep0 vs t117bge320-ep0): control +0.00038 / -0.00325 | newly-fitting +0.01435 (16/16, 15/16) / +0.01233 (13/16) | still-truncating -0.00525 / +0.02365. The middle column is the only cell that holds its sign, size and win-rate across both contrasts, and it sits exactly where the mechanism says a window must act. Verified not to be the blend (raw CE: +0.01371 / -0.00566), not one category (12 of 20 negative in the tail), and the fp16 round-trip that ingC carries is 0.00026 max, twenty times under the effect. WHY THE LOCAL RULER LOOKS BLIND, which windowlbonly observed but could not explain: the band where a window can act is only ~15-19% of ANY pool we can build, so a +0.013 effect there arrives as +0.002 overall -- at or under the control column's own noise. Dilution, not absence. 192->256 read on the whole slice even flips sign by epoch (+0.00389 at ep0, -0.00249 at ep1), which is what a diluted signal under run noise looks like. scope: this explains the DILUTION and gives a floor for pricing a window step; it does NOT overturn windowlbonly and does NOT license accepting a window change on a local read. The board remains the arbiter for window, because the val/board GAP itself is still unexplained -- see poollen, which killed the length-composition explanation."
elens2,2026-08-22,max,ce-window,"REFUTED, by its own pre-registered replication: 'a wider window HURTS the pairs it still truncates'",same stratified leak-free E_real; second contrast is the replication,-0.00525,"paired 16 splits, two contrasts",,REJECT,"tools/elen_confirm.py, outputs/elen_confirm.json","scope: kills the claim that the still-truncating tail has a characteristic DELTA COLUMN = the refuted claim's original number on 192->256; the replication on 256->320 read +0.02365 at 16/16, the opposite sign.  SIGN under a window increase; it does not touch the newly-fitting band result (windowband), which replicated. HOW IT AROSE AND WHY IT IS WRITTEN DOWN AS A LOSS: elen_ruler pre-registered three possible patterns and reality produced a fourth -- the tail went negative at -0.00525, consistently, 5/16 and 2/16. It was mechanically attractive (more admitted attribute text diluting a name-led decision) and it would have been easy to keep. Three of the four confirmation checks passed: not the blend, not one category, fp16 artefact 20x too small to matter. The replication FAILED: the same stratum on 256->320 reads +0.02365 at 16/16, the opposite sign at four times the size. So the tail is carrying RUN quality, not a window law. Recorded as a refutation rather than softened into a hedge, per eyeballrefuted -- that tally is now six hand-read hypotheses refuted, three with the sign backwards."
poollen,2026-08-22,max,ce-window,"the catalogue is NOT longer than our validation pool, so length composition does not explain the val/board window gap","bge tokenizer over the shipped make_text template, 200k items sampled across all row groups of each pool",,200k x 2 pools,,REJECT,"tools/pool_lengths.py, outputs/pool_lengths.json, outputs/pool_lengths.log","scope: kills NO RULER DELTA: this row measures a token-length difference between two item pools, +1.3 tokens per side (+0.7%), not a macro-AP delta, so the delta column is deliberately empty.  LENGTH COMPOSITION as the explanation for the val/board window disagreement. Does not touch windowband's dilution mechanism, and does not explain the gap by something else -- the gap stays open. PRE-REGISTERED BEFORE TOKENIZING: catalogue materially shorter -> the length-mix story survives and the window ladder becomes arithmetic; same or longer -> the story dies. items_human 168.4 mean tokens per side (median 143, p99 521); items.parquet across all 13.4M rows 169.6 (median 147, p99 521). Same distribution. Band masses on sampled pairs are 15.0/17.8/67.2% and 13.4/17.6/69.1% -- indistinguishable. SO THE HYPOTHESIS FAILS: a test pool drawn from this catalogue reads the window the same way our slice does, which means it should have read 192->256 at about zero, and the board read +0.01972. Whatever makes the board see a window effect five times larger than any local slice, it is NOT that the test items are longer. windowlbonly's escape clause -- 'a differently CONSTRUCTED validation set' -- is now narrower by one construction: item-disjoint we already have, length-matched buys nothing because it is already matched."
attrprune,2026-08-22,max,ce-window,"pruning low-value attribute keys buys 8.4 points of truncation relief for 2.7% of measured value, at zero inference cost -- half of what widening to 320 buys, for no CE-minutes","token accounting on the leak-free slice through the shipped make_text (imported, not re-implemented); value from attr_rank, fitted off the eval slice",,"36,542 pairs / 73,084 sides / 909,711 segments",,PROPOSED,"tools/attr_prune.py, tools/fmt_cost.py, outputs/attr_prune.json","SIZES A PRIZE, DOES NOT PAY IT OUT -- no model was trained here. windowband established that a window pays ONLY on the band it newly admits, so the quantity that matters is how much of a pair lands inside the window. Widening costs CE-minutes; shortening the text costs nothing and is not on the window axis, so it does not inherit windowlbonly. Measured, control = 61.8% of pairs over 256 (the shipped path reads 61.9%, so the reconstruction is faithful): drop keys with value<0.01 -> 12.8% of attribute tokens gone for 2.7% of measured value, truncation 61.8%->53.4%; value<0.05 -> 24.4% tokens for 17.7% value, 46.3%. For scale, widening 256->320 takes it to 46.6% and costs 0.61 CE-min of a 13.0-min budget. NOT THE REORDER KILL AGAIN: reorderprobe/reordertrunc died on an intervention that keeps every token and changes only order, which cannot move what FITS -- and reordertrunc confirmed the loss is uniform across truncating and fitting pairs. Pruning REMOVES tokens so the same window holds strictly more of what remains. Shared ranking file, nothing else. THE CEILING IS RANKING COVERAGE, and it is the actionable finding: only 147 of the 16,455 distinct keys on this slice carry a measured value, so 87% of attribute token mass sits on keys we refuse to prune because nobody has measured them. Extending attr_rank is pure CPU and raises the ceiling before any GPU is spent. AGAINST IT, on the record: stageapriority counts 5 receipts and 0 wins for Stage-A subtractions, and this is a subtraction. The distinction is that those five removed LABELS while this removes input text the tokenizer is already discarding on 62% of pairs -- the only question is whether the ranking or the arbitrary JSON key order chooses what goes. Must be a TRAIN-time arm: the model is format-specialised."
fmtcost,2026-08-22,max,ce-window,REFUTED: the shipped text format is NOT wasting tokens on JSON punctuation -- 'off' and 'control' cost the same to 0.1 points,"same tokenizer, same rows, both templates built by the imported make_text in one process",,"36,542 pairs",,REJECT,tools/fmt_cost.py,"scope: kills the claim that re-serialising the attribute blob as 'k : v' is itself a token saving; says nothing about whether the re-serialisation changes model behaviour, which oleg measured separately at rho 0.9624. MEASURED: off 340.2 mean / 61.9% over 256; control 339.4 / 61.8%; drop 339.4 / 61.8%. Cross-checked against the independent pair_toklen dump built on the box -- mean differs by 0.0 tokens, so the recomputation IS the shipped path. WHY IT WAS ASKED: the first version of attr_prune read 51.1% for the same control, a 10-point gap that would have made `--tells control` a free window widening. It was a BUG IN MY OWN TOOL -- it summed independently tokenized segments, which drops the ' , ' joiner (~2 tokens x ~12 segments x 2 sides = ~48 per pair) and the 1500-char cap. Segment costs are not additive under a tokenizer. Caught only because the number was surprising enough to check against a second implementation, which is the reusable lesson: a surprising measurement gets a second implementation before it gets a story."
t120read,2026-08-22,max,ce-loss,"the loss function is NOT a flat axis -- pos_weight does nothing at human ep0 and +0.00551 at 16/16 by ep1, so the effect GROWS with training rather than being absent","leak-free E_real at prevalence 0.045, paired 16 splits, epoch matched; both arms from the same recovered Stage-A checkpoint",+0.00279,paired 16 splits x 2 epochs,0.00302 (ep1),REVISIT,"tools/read_t120.py, tools/box_fetch.py, outputs/t120_read.json, box/queue18.sh, kaggle:ecup26-t120loss-pw0.134-ep1","DELTA COLUMN = mean over both epochs, which is what t120prereg registered; the per-epoch numbers are ep0 +0.00006 (9/16) and ep1 +0.00551 (16/16), sd 0.00302. EIGHT MONTHS, ZERO ROWS, ONE READ. t120prereg verified in code that every CE run on either track used plain BCE with no pos_weight and that pos_weight|focal|listwise|lambdarank|smooth-AP had zero training rows. Both arms had already RUN TO COMPLETION before the box died and their universe scores survived on the volume -- this cost no GPU. THE PRE-REGISTERED FLAT CLAUSE DID NOT FIRE. It required both arms inside +-0.002, which would have killed the whole listwise/lambdaRank/smooth-AP family. ep1 is far outside that, so the family is NOT dead. But the registered mean does not clear the +0.006 bar either, so the verdict on the arm AS REGISTERED is REVISIT and pos_weight alone is not worth a slot. THE SHAPE IS THE FINDING, and it is why queue18 is running: the gap grew from nothing to +0.00551 in one epoch, and we do not ship an average, we ship the last epoch. For scale on the same rows and splits, the EPOCH axis itself is +0.00562 (16/16) -- so one epoch of training and the entire loss treatment are worth the same amount here. queue18 extends both arms to ep2 with the reading pre-registered before launch: >=+0.006 at >=12/16 clears the bar on the epoch we ship; [+0.002,+0.006) leaves REVISIT standing; <+0.002 means the ep1 reading did not survive its own extension. NOT A SINGLE-VARIABLE COMPARISON TO THE SHIPPED CE: these arms sit on t119vol2x's 2x-volume Stage A, not t116's, so pw0.134-ep1's macro of 0.50754 against the shipped CE-1's 0.49808 confounds volume with loss and must not be quoted as either."
headroom,2026-08-22,max,strategy,"the 0.6 target lives in the weakest five categories, not in a uniform lift -- macro arithmetic makes this computable rather than arguable",per-category AP of the shipped v15 blend on the leak-free slice at board prevalence,,"20 categories, 36,542 rows",,ANCHOR,"tools/headroom.py, outputs/headroom.json, outputs/headroom.log","NO RULER DELTA: this is a decomposition of the current score, not an intervention. Macro PR-AUC gives every category exactly 1/20 of the total however many pairs it holds, so headroom is arithmetic. Current spread on our own slice: Аптека 0.8421 at the top, then Продукты 0.6671, Муз. инструменты 0.6548, ... down to Детские товары 0.3737, Одежда 0.3636, Обувь 0.3567, Ювелирные 0.3146, Спорт и отдых 0.2812. Median 0.5288. TO REACH 0.6 FROM 0.49178, +0.1082 is needed. Scenario A (lift every category uniformly) needs +0.1082 AP EVERYWHERE = 22% relative, i.e. FIVE backbone-sized wins stacked with no diminishing returns -- the backbone swap was +0.0220 and the window +0.0197, the two largest board levers ever measured. Scenario B: the weakest five lifted to the current MEDIAN is +0.0446 (41% of the gap); to the current BEST, +0.1260 (116%). Scenario C: perfect ranking in those five alone is +0.1655 (153%). SO THE TARGET IS REACHABLE ONLY THROUGH THE WEAK CATEGORIES, and the four weakest overlap almost exactly with the grid-SKU set where the identity signal INVERTS (COOKBOOK: Обувь/Одежда/Ювелирные/Галантерея/Мебель). This does NOT reopen per-category blending -- t107, percatblend, blendclass, percatrank, thingate and o-rank all reweight an existing score, and catprofile explains why that cannot work: reweighting cannot add a cue that is absent. It says the useful work is whatever GIVES the model a cue in those categories."
catbalance,2026-08-22,max,strategy,REFUTED before it cost a GPU hour: the weak categories are not weak from under-exposure -- training is already balanced to the metric,category counts of matches.parquet against the macro metric's flat 1/20 weighting,,"365,654 human pairs, 20 categories",,REJECT,"tools/cat_balance.py, outputs/cat_balance.json","scope: kills EXPOSURE as the explanation for the weak five and kills plain category-balanced sampling as a fix; does NOT kill deliberate OVER-weighting of hard categories, which is a different claim (equal exposure is not equal learning when difficulty differs). The hypothesis was clean and worth one measurement: macro PR-AUC weights 20 categories equally, but Stage B draws batches in whatever proportion matches.parquet was written, so a mismatch would mean we train on an objective we are not scored on. MEASURED: the mix spans only 1.35x between extremes (Одежда 6.4% at the top, Хобби 4.8% at the bottom), and the five weakest categories hold 26.2% of training pairs against the 25.0% the metric says they are worth -- a ratio of 1.05. spearman(training share, AP) = +0.140, i.e. essentially nothing. Training already matches the metric's category weighting. Taken with weakcatattr (no unused attribute signal in the weak five) and featexhausted (five independent probes, all negative), the remaining candidates for the weak-five deficit are label noise (humanfloor puts human disagreement near 13%, failstudy found it concretely in Обувь) and genuine grid-SKU ambiguity -- not data volume and not features."
t117ep1,2026-08-22,max,ce-window,"bge@320 at the epoch we would actually ship beats the shipped CE-1 by +0.00876 at 16/16 -- but the gain is NOT on the band it newly admits, it is on the longest pairs, so the two models are length-SPECIALISED rather than one being wider","leak-free E_real at prevalence 0.045, paired 16 splits, epoch matched at human ep1, stratified by untruncated pair length",+0.00876,paired 16 splits,0.00340,REVISIT,"tools/read_t117ep1.py, outputs/t117ep1_read.json, kaggle:ecup26-t117b320e1-ep1, box/queue18.sh","t117 died at human ep0 on the old box; resumed to ep1 on the new one (32.1 min, human-val MACRO 0.7953). Solo blend on the leak-free slice: @256 0.49249 vs @320 0.50174. THE STRATA MOVED AND THAT IS THE FINDING. ep0 read control -0.00325 / newly-admitted +0.01233 / still-truncating +0.02365. ep1 reads control -0.00774 (2/16) / newly-admitted +0.00176 (10/16) / still-truncating +0.03405 (16/16). The overall number reproduced almost exactly (+0.00876 vs +0.00857) but the SHAPE did not: at the shipping epoch the @320 model is WORSE on pairs where both models read byte-identical input and much better on the longest ones. That is length specialisation, consistent with t109probe's -0.067 for running a 256-trained checkpoint at 384 -- each model is best where it was trained -- and it means windowband's 'pays on the band it newly admits' is a description of ep0, not a law. windowband is accordingly narrowed: what replicates is that a window change acts ONLY through length, with a byte-identical control to price the rest. windowlbonly still stands: this is the strongest prior we have ever had for a window change, not an acceptance. REVISIT rather than KEEP because the container decision belongs to t117partner, not here."
lengthroute,2026-08-22,max,ce-blend,REJECTED by its own pre-registered control: routing each pair to the model that is better at its length is just ensembling wearing a length costume,"leak-free E_real, paired 16 splits, five cut points from 192 to 320",-0.00043,paired 16 splits,,REJECT,"tools/length_route.py, outputs/length_route.json","scope: kills RANK-LEVEL length routing as an accuracy device; does NOT kill it as a COST device (see the numbers below), and does not touch the length-specialisation finding in t117ep1, which rests on its own byte-identical-input control. DELTA COLUMN = routed at its best cut against the plain rank-mean, which is the control that decides it. The idea was well motivated: t117ep1 measured the two models to have OPPOSITE advantages either side of a length boundary, on rows where the window cannot be the explanation, and no existing kill covers model SELECTION (blendclass's scope explicitly leaves per-category model selection open; this was the same operation on length). MEASURED: @256 alone 0.49249, @320 alone 0.50174, routed at the best cut (224 tokens) 0.50501 -- so routing beats BOTH single models, +0.00390 over @320 at 15/16. But the plain rank-mean of the same two models reads 0.50596, and routed loses to it by -0.00043 at 7/16. The pre-registered control fired exactly as written: the gain was ensembling, and length was decoration. WHAT SURVIVES, and it is worth keeping: routing captures 93% of the two-model ensemble gain while scoring each pair with exactly ONE cross-encoder (~4.46 CE-min against the rank-mean's 8.79). Our binding constraint is minutes, not accuracy -- ce2_cascade's own premise. So this is a live COST option for a future budget squeeze even though it is dead as an accuracy idea."
t117partner,2026-08-22,max,ce-blend,promoting bge@320 to CE-1 is worth +0.00666 at 16/16 for +0.61 CE-minutes -- a one-file container change that clears the standing bar,"leak-free E_real at prevalence 0.045, paired 16 splits, in the exact blend shape the container computes (0.1*gb + 0.9*(0.7*CE1+0.3*CE2))",+0.00666,paired 16 splits,,PROPOSED,"tools/t117_partner.py, outputs/t117_partner.json","DELTA COLUMN = arm D, the cheap one. Read in the shape the container actually computes, not as a 50/50 mean, because a mean is not something the shipped run.py can produce. Five arms, all against the shipped blend (0.49763 at 5.68 CE-min of a 13.0 budget): B keep CE-1, partner @320 -> 0.50260 (+0.00492, 16/16) at 8.79 min; C promote @320 to CE-1, @256 as partner -> 0.50648 (+0.00868, 16/16) at 8.79 min; D promote @320, KEEP t104-ep4 as partner -> 0.50429 (+0.00666, 16/16) at 6.29 min; E all three at 0.50/0.25/0.25 -> 0.50679 (+0.00900, 16/16) at 10.38 min. D IS THE EFFICIENT POINT: it swaps ONE file (models/ce-1) for +0.61 CE-min and keeps 6.7 minutes of headroom, where E spends 10.38 of 13.0 and leaves no room for oleg's CE-3. C is better than B, which is the familyvalue prediction holding -- the stronger model belongs at weight 0.7, and @320 is the stronger model (0.50174 solo vs 0.49249). Correlations: @256/@320 0.9636, @320/t104 0.9323, @256/t104 0.9374, so @320 is both better AND slightly less correlated to the partner. WHY IT IS PROPOSED AND NOT KEEP: every arm here moves a WINDOW, and windowlbonly forbids accepting a window change on any local read. The relevant precedent cuts in our favour -- when the board last judged a window (192->256) it paid +0.01972 while the local ruler read between -0.0053 and +0.0020, i.e. the local ruler UNDER-read it by an order of magnitude -- but a favourable precedent is not a measurement. This is a slot candidate, and a far better one than v16's +0.00138."
ladderreprice,2026-08-22,max,ce-blend,"with bge@320 as CE-1 and oleg's CE cascaded at 40%, the best affordable container reads +0.01024 over the shipped blend at 16/16 and costs 8.61 of 13.0 CE-minutes -- but the EFFICIENT point is +0.00985 at 6.97","leak-free E_real at prevalence 0.045, paired 16 splits, through cascade_impl's shippable band-rank formula at 40% partner coverage",+0.01024,paired 16 splits,,PROPOSED,"tools/ladder_reprice.py, outputs/ladder_reprice.json, box/queue19.sh, kaggle:smirnolegov/ecup26-oleg-bge256","TWO THINGS CHANGED ON THE SAME DAY AND THEY INTERACT, which is why v18 could not just be built as designed. t117partner showed bge@320 belongs at CE-1 (+0.00666 for +0.61 CE-min), and oleg shipped his checkpoint as a Kaggle dataset -- but v18's arithmetic (CE-1 @256 + two partners at 40% = 9.97 min) predates @320, and every minute spent on a wider CE-1 is a minute the cascade cannot spend on partners. SOLO on our leak-free slice: t117@320 0.50174, oleg@256 0.49290, t116@256 0.49249, t104-ep4 0.46651. oleg's CE is almost exactly as strong as our own bge@256 and it comes from a separate training track, which is what crosstrack priced at +0.00342. ALL 14 CASCADED CONFIGURATIONS priced (shipped = 0.49754 at 5.68 min). Every arm with @320 at CE-1 dominates every arm without it. The efficient frontier: @320+t104 0.50453 (+0.00703) at 5.34 min -- CHEAPER than what we ship today and better by 0.007; @320+oleg 0.50764 (+0.00944) at 6.34; @320+t104+oleg 0.50774 (+0.00985) at 6.97; @320+all three 0.50822 (+0.01024) at 8.61. All 16/16. THE LAST RUNG IS NOT WORTH IT: 6.97 -> 8.61 minutes buys +0.00039, well inside the E_real noise floor of ~0.0006. Take @320 + t104-ep4 + oleg@256 at 6.97 min and keep 6.03 minutes of headroom, rather than spending it to buy nothing measurable. GATE, NOT YET CLEARED: every oleg number here comes from his HANDOFF PARQUET, not from the checkpoint he shared. queue19 scores the actual file on our universe so verify_ce3 can decide -- PASS is pearson >= 0.999. His HF repo carries six revisions scoring 0.7747..0.7860 and shipping the wrong one would be silent: the container would build and the smoke test would pass. Also unresolved: windowlbonly forbids accepting a window change on a local read, and @320 is a window change."
t120ep2,2026-08-23,max,ce-loss,pos_weight is a NULL: the +0.00551 at 16/16 that looked like a live loss axis did not survive the extension it predicted -- ep2 reads +0.00139 at 10/16,"leak-free E_real at prevalence 0.045, paired 16 splits, epoch matched, same Stage-A checkpoint, same batch 32, single variable",+0.00139,paired 16 splits,0.00443,REJECT,"tools/read_t120.py, outputs/t120_read.json, box/queue18.sh","scope: kills pos_weight as a shippable intervention at 0.134 on this recipe, and supersedes t120read's REVISIT. Does NOT kill the wider objective family by the pre-registered flat clause -- that required BOTH arms inside +-0.002 and ep1 was outside it -- but nothing here funds that family either, and t120read's argument for funding it is withdrawn. THE FULL EPOCH LADDER: ep0 +0.00006 (9/16), ep1 +0.00551 (16/16, sd 0.00302), ep2 +0.00139 (10/16). queue18 registered the reading before the run: >=+0.006 at >=12/16 clears the bar on the epoch we ship; [+0.002,+0.006) leaves REVISIT; <+0.002 means the ep1 reading did not survive. The last clause fired. WHAT IT COST TO LEARN AND WHY IT WAS WORTH IT: 100 GPU-minutes to avoid funding an objective-family research programme (focal, smooth-AP, listwise) on a single draw. The ep1 cell was as clean as this project ever produces -- 16/16, coherent mechanism, and a story that the effect grows with training. A SECOND, FREE RESULT ON THE SAME ROWS: the epoch axis ep1 -> ep2 is -0.00696 at 0/16. A third human epoch makes the model materially WORSE, which corroborates stagebepochs' peak-at-ep1 on a 2x-volume Stage A that stagebepochs never saw. Do not train Stage B past ep1. METHODOLOGICAL CONSEQUENCE, recorded in COOKBOOK: 16/16 on paired half-splits of the SAME rows with the SAME frozen checkpoints measures row-resampling noise only. It cannot see checkpoint-to-checkpoint variance, which is what killed this -- and that variance is larger than our bar (stageavol's 4-checkpoint family spread 0.0086; this epoch axis 0.00696). *** REOPENED IN SCOPE 2026-08-24 by `pwmmbert`, on external evidence and per the gate-axis rule: this row killed pos_weight on the ep2 cell of the bge@256 recipe, but v22 then SHIPPED pw0.134-ep1 and won the board, and the epoch we ship is ep1 where this same experiment read +0.00551 at 16/16. The REJECT stands for ep2 on bge@256; it does not cover ep1 on mmBERT@1024, which has never been tested."
ce3verified,2026-08-23,max,ce-blend,"oleg's shipped checkpoint IS the model his gains were priced on -- pearson 0.999996 against the handoff scores, so the three-CE ladder's numbers apply to the file that would go in the archive","pearson/spearman between his checkpoint's scores on our 415k universe and handoff/oleg_bge256_scores.parquet, on the 182,827 shared pairs",,"182,827 shared pairs",,LANDED,"tools/verify_ce3.py, outputs/out-oleg/olegbge256.npz, box/queue19.sh, kaggle:smirnolegov/ecup26-oleg-bge256","NO RULER DELTA: this is an identity check between an artifact and the scores it was priced on. pearson 0.999996, spearman 0.999990, mean|d| 0.000268, max|d| 0.050079 -- against a PASS threshold of 0.999. WHY IT WAS WORTH A GPU PASS. Every number we hold for his CE (crosstrack +0.00342, cascadeimpl +0.00409, ladderreprice's +0.00986 as the best partner for bge@320) was measured from a PARQUET. His HF repo carries six revisions of that run scoring 0.7747..0.7860 on his own validation, and shipping the wrong one would have been completely silent: the container builds, the smoke test passes, and most of the gain is gone with no error anywhere. o-qwendesync is the precedent -- a stack shipped against scores it had not been fitted on, caught at pearson 0.898 where healthy reads 0.99999. CHAIN: dataset downloaded ON THE BOX at 152 MB/s, byte-size asserted against the 1,135,559,698 figure in his own o-weights-kds row BEFORE scoring, then scored at max_len 256 on our full 415,177-row universe. ladderreprice now prices him from these scores rather than the handoff, which also lifts coverage from the handoff's 44% overlap to every row. The numbers moved by less than 0.0001, which is what pearson 0.999996 predicts. FOUND ON THE WAY, and recorded separately: the first two attempts failed because the NEW box has no `kaggle` module and push_ckpt.py exited 0 after a failed push, so push_off_box logged 'PUSH ... ok' for every checkpoint of the day while none landed. The size assert in queue19 is what surfaced it -- it refused to score a 0-byte file rather than producing plausible garbage."
